AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
HIGH,Internet/Voice,Hawaii,"08 [9.1684, 16.5179]","01 [0.02, 2.13]","01 [0.009, 0.13]",1845,0.001084,0.0006290391923
HIGH,Video/Internet/Voice,Kentucky,"07 [5.4369, 9.1667]","09 [40.36, 1134.70]","03 [0.26, 0.41]",1607,0.000000,0.001563351346
LOW,Video/Internet/Voice,Eastern NY,"03 [0.5976, 1.1236]","04 [8.53, 12.29]","02 [0.13, 0.26]",685,0.002920,0.001135952007
HIGH,Internet Only,Brooklyn / Queens,"04 [1.1254, 1.9139]","00 [-0.00, 0.02]","02 [0.13, 0.26]",540,0.000000,0.0003313637525
HIGH,Internet/Voice,Kansas City / Lincoln,"02 [0.1236, 0.597]","03 [5.13, 8.53]","04 [0.41, 0.59]",600,0.001667,0.0005144823162
LOW,Video/Internet,East Florida,"01 [0.0, 0.0]","05 [12.29, 16.54]","04 [0.41, 0.59]",2161,0.000925,0.001024848959
HIGH,Internet/Voice,Central NY,"07 [5.4369, 9.1667]","05 [12.29, 16.54]","02 [0.13, 0.26]",4259,0.000235,0.000471577464
LOW,Video/Internet/Voice,TN / LA / AL,"01 [0.0, 0.0]","05 [12.29, 16.54]","08 [1.65, 2.80]",1406,0.002134,0.001137376289
ZERO,Internet Only,TN / LA / AL,"05 [1.9149, 3.2258]","05 [12.29, 16.54]","04 [0.41, 0.59]",1007,0.000000,0.0008058353656
ZERO,Internet Only,Central NY,"01 [0.0, 0.0]","02 [2.13, 5.13]","05 [0.59, 0.81]",215,0.000000,0.0007930812476
LOW,Video/Internet,East Central Florida,"09 [16.5192, 100.0]","00 [-0.00, 0.02]","01 [0.009, 0.13]",177,0.000000,0.000876587015
HIGH,Internet/Voice,Minnesota,"05 [1.9149, 3.2258]","01 [0.02, 2.13]","08 [1.65, 2.80]",111,0.000000,0.0004061792082
ZERO,Video/Internet,Midwest South,"04 [1.1254, 1.9139]","01 [0.02, 2.13]","03 [0.26, 0.41]",62,0.032258,0.002296657749
ZERO,Video/Internet/Voice,So Cal North,"03 [0.5976, 1.1236]","06 [16.54, 21.71]","07 [1.13, 1.65]",175,0.000000,0.001852452999
